customer_id,age,gender,tenure_months,contract_type,payment_method,has_internet,monthly_charges,total_charges,churn
CUST1001,38,F,6,,Credit card,yes,,,Yes
CUST1002,23,F,8,Month-to-month,credit card,no,-15.0,,No
CUST1003,130,male,,,Mailed check,Yes,117.63,,No
CUST1004,36,Female,69,,Electronic check,Y,101.61,7011.09,No
CUST1005,130,Female,47,,e-check,Yes,-15.0,,No
CUST1006,,F,40,,Mailed check,yes,49.98, 1999.2 ,Yes
CUST1007,54,male,63,month-to-month,Electronic check,Y,118.02,,No
CUST1008,66,Female,62,Month-to-month,e-check,Yes,-15.0, ,Yes
CUST1009,62,male,,month-to-month,Credit card,,29.36, ,Yes
CUST1010,21,,57,month-to-month,e-check,yes,22.26,1268.82,No
CUST1011,57,F,7,Two year,Bank transfer,N,44.76,,Yes
CUST1012,28,F,70,One year,,no,106.4,,Yes
CUST1013,61,Female,19,One year,Bank transfer,No,85.85,,No
CUST1014,29,M,0,month-to-month,credit card,yes,80.98,,No
CUST1015,130,,6,,Mailed check,no,59.9,,No
CUST1016,21,Male,26,One year,Credit card,yes,80.07,2081.82,No
CUST1017,,Male,,Month-to-month,Credit card,,40.8,,Yes
CUST1018,5,M,60,Month-to-month,,no,119.31,,No
CUST1019,37,Female,13,Two year,Mailed check,,,,No
CUST1020,51,Female,69,,Electronic check,N,106.33,7336.77,No
CUST1021,40,male,69,Two year,e-check,No,81.32, 5611.08 ,No
CUST1022,65,Female,66,Two year,e-check,Yes,118.96,,Yes
CUST1023,5,M,57,Two year,Credit card,No,30.22, 1722.54 ,Yes
CUST1024,31,male,0,Two year,,N,28.48, ,No
CUST1025,48,F,42,month-to-month,Mailed check,no,94.34, 3962.28 ,No
CUST1026,26,Female,59,,,Y,118.03, 6963.77 ,No
CUST1027,53,Male,1,,e-check,No,63.38, 63.38 ,Yes
CUST1028,34,M,64,,Electronic check,yes,74.44,4764.16,Yes
CUST1029,75,,66,,Bank transfer,Y,,,No
CUST1030,67,male,0,One year,Bank transfer,no,81.91,,Yes
CUST1031,130,male,67,month-to-month,,,,,No
CUST1032,30,Male,12,month-to-month,credit card,Yes,96.0,,Yes
CUST1033,,male,65,Two year,Mailed check,Y,73.33, 4766.45 ,No
CUST1034,74,male,25,One year,Mailed check,Yes,59.24,1481.0,No
CUST1035,45,Female,38,One year,e-check,N,86.03,3269.14,No
CUST1036,47,,12,month-to-month,Bank transfer,N,103.24,,No
CUST1037,43,F,25,Two year,Credit card,N,56.6,,No
