,customer_id,age,gender,tenure_months,contract_type,payment_method,has_internet,monthly_charges,total_charges,churn
0,CUST1001,38.0,Female,6.0,Month-to-Month,Credit card,Yes,71.1637037037037,2812.9114925373137,Yes
1,CUST1002,23.0,Female,8.0,Month-to-Month,Credit card,No,71.1637037037037,2812.9114925373137,No
2,CUST1003,130.0,Male,57.0,Month-to-Month,Mailed check,Yes,117.63,2812.9114925373137,No
3,CUST1004,36.0,Female,69.0,Month-to-Month,Electronic check,Yes,101.61,7011.09,No
4,CUST1005,130.0,Female,47.0,Month-to-Month,Electronic check,Yes,71.1637037037037,2812.9114925373137,No
5,CUST1006,46.0,Female,40.0,Month-to-Month,Mailed check,Yes,49.98,1999.2,Yes
6,CUST1007,54.0,Male,63.0,Month-to-Month,Electronic check,Yes,118.02,2812.9114925373137,No
7,CUST1008,66.0,Female,62.0,Month-to-Month,Electronic check,Yes,71.1637037037037,2812.9114925373137,Yes
8,CUST1009,62.0,Male,57.0,Month-to-Month,Credit card,No,29.36,2812.9114925373137,Yes
9,CUST1010,21.0,unknown,57.0,Month-to-Month,Electronic check,Yes,22.26,1268.82,No
10,CUST1011,57.0,Female,7.0,Two year,Bank transfer,No,44.76,2812.9114925373137,Yes
11,CUST1012,28.0,Female,70.0,One year,Electronic check,No,106.4,2812.9114925373137,Yes
12,CUST1013,61.0,Female,19.0,One year,Bank transfer,No,85.85,2812.9114925373137,No
13,CUST1014,29.0,Male,0.0,Month-to-Month,Credit card,Yes,80.98,2812.9114925373137,No
14,CUST1015,130.0,unknown,6.0,Month-to-Month,Mailed check,No,59.9,2812.9114925373137,No
15,CUST1016,21.0,Male,26.0,One year,Credit card,Yes,80.07,2081.82,No
16,CUST1017,46.0,Male,57.0,Month-to-Month,Credit card,No,40.8,2812.9114925373137,Yes
17,CUST1018,5.0,Male,60.0,Month-to-Month,Electronic check,No,119.31,2812.9114925373137,No
18,CUST1019,37.0,Female,13.0,Two year,Mailed check,No,71.1637037037037,2812.9114925373137,No
19,CUST1020,51.0,Female,69.0,Month-to-Month,Electronic check,No,106.33,7336.77,No
20,CUST1021,40.0,Male,69.0,Two year,Electronic check,No,81.32,5611.08,No
21,CUST1022,65.0,Female,66.0,Two year,Electronic check,Yes,118.96,2812.9114925373137,Yes
22,CUST1023,5.0,Male,57.0,Two year,Credit card,No,30.22,1722.54,Yes
23,CUST1024,31.0,Male,0.0,Two year,Electronic check,No,28.48,2812.9114925373137,No
24,CUST1025,48.0,Female,42.0,Month-to-Month,Mailed check,No,94.34,3962.28,No
25,CUST1026,26.0,Female,59.0,Month-to-Month,Electronic check,Yes,118.03,6963.77,No
26,CUST1027,53.0,Male,1.0,Month-to-Month,Electronic check,No,63.38,63.38,Yes
27,CUST1028,34.0,Male,64.0,Month-to-Month,Electronic check,Yes,74.44,4764.16,Yes
28,CUST1029,75.0,unknown,66.0,Month-to-Month,Bank transfer,Yes,71.1637037037037,2812.9114925373137,No
29,CUST1030,67.0,Male,0.0,One year,Bank transfer,No,81.91,2812.9114925373137,Yes
30,CUST1031,130.0,Male,67.0,Month-to-Month,Electronic check,No,71.1637037037037,2812.9114925373137,No
